Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
Stadium-Management-Sytem,Stedium_Management,Add_events,2,0,5,5,103,11,0,0,0.6,1,0,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Stadium-Management-Sytem\Add_events.java,37
Stadium-Management-Sytem,Stedium_Management,AdminLogin,9,0,5,5,99,7,0,0,0.8,2,2,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Stadium-Management-Sytem\AdminLogin.java,20
Stadium-Management-Sytem,Stedium_Management,Admin_host,2,0,11,11,137,13,0,0,1.0,1,2,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Stadium-Management-Sytem\Admin_host.java,27
Stadium-Management-Sytem,Stedium_Management,Create_ac,10,0,5,5,154,9,0,0,0.8,1,1,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Stadium-Management-Sytem\Create_ac.java,24
Stadium-Management-Sytem,Stedium_Management,MainScreen,1,0,6,5,73,6,0,0,1.0,3,2,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Stadium-Management-Sytem\MainScreen.java,23
Stadium-Management-Sytem,Stedium_Management,Show_bookings,2,0,3,3,38,3,0,0,1.0,0,0,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Stadium-Management-Sytem\Show_bookings.java,19
Stadium-Management-Sytem,Stedium_Management,Stedium_Management,0,0,1,1,11,1,0,0,-1.0,0,1,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Stadium-Management-Sytem\Stedium_Management.java,2
Stadium-Management-Sytem,Stedium_Management,Userlogin,7,0,7,7,117,9,0,0,0.8571428571428571,3,3,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Stadium-Management-Sytem\Userlogin.java,25
Stadium-Management-Sytem,Stedium_Management,User_host,5,0,7,7,233,17,0,0,0.7142857142857143,1,1,C:\Users\SUBRATO\Downloads\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Java-JavaFx-Swing-Projects-Desktop-Application-GUI-Software-master\Stadium-Management-Sytem\User_host.java,35
